City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pisco,PE,62.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
3,Rocha,UY,63.03,clear sky,-34.4833,-54.3333,Beleza Pura B&B
4,Cape Town,ZA,61.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
5,Ponta Do Sol,PT,68.72,scattered clouds,32.6667,-17.1,Hotel do Campo
9,San Vicente De Canete,PE,63.88,few clouds,-13.0751,-76.3835,Hotel Konford
11,Raga,SS,70.43,broken clouds,8.4596,25.678,
17,Arraial Do Cabo,BR,71.35,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
18,Rikitea,PF,74.52,few clouds,-23.1203,-134.9692,People ThankYou
19,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
20,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
23,Mataura,NZ,72.01,few clouds,-46.1927,168.8643,Ellie's Villa
27,Puerto Ayora,EC,68.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Chuy,UY,63.14,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
41,East London,ZA,66.83,overcast clouds,-33.0153,27.9116,Tu Casa
42,Mapiripan,CO,70.74,light rain,2.8892,-72.1256,Monserrate
50,Kaitangata,NZ,61.74,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
52,Nechi,CO,74.25,light rain,8.0942,-74.7757,Ivan Villadiego guerra
53,Katsuura,JP,69.84,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
55,Carnarvon,AU,71.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
57,New Norfolk,AU,66.76,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
66,Hermanus,ZA,60.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
68,Saint George,US,61.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
70,Sao Joao Da Barra,BR,72.52,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
71,Port Alfred,ZA,67.48,overcast clouds,-33.5906,26.891,The Halyards Hotel
73,Castro,BR,60.8,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
91,Moerai,PF,70.77,light rain,-22.4333,-151.3333,Le Manotel
93,Iseyin,NG,71.46,broken clouds,7.9667,3.6,Momak Hotels And Suites
95,Magole,TZ,68.83,broken clouds,-6.3667,37.3667,Juma lubelwa
99,Rio Verde De Mato Grosso,BR,73.51,broken clouds,-18.9181,-54.8442,Hotel Valência
104,Hobart,AU,68.11,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
110,Hanmer Springs,NZ,60.15,moderate rain,-42.5167,172.8167,The Chalets Motel
111,Cidreira,BR,67.33,clear sky,-30.1811,-50.2056,Hotel Castelo
112,Kruisfontein,ZA,67.33,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
120,Seoul,KR,62.17,clear sky,37.5683,126.9778,Lotte Hotel Seoul
122,Sabha,LY,68.23,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
123,Bredasdorp,ZA,61.92,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
124,Mar Del Plata,AR,66.22,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
142,Ribeira Grande,PT,68.38,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
146,San Luis,AR,72.86,scattered clouds,-33.295,-66.3356,Huarpes Hotel
147,Syracuse,IT,66.25,broken clouds,37.0881,15.2792,Hotel Posta
153,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
163,Marsabit,KE,63.9,few clouds,2.3284,37.9899,Chicho Hotel
167,Reconquista,AR,73.44,broken clouds,-29.15,-59.65,Grand Hotel
168,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
169,Omachi,JP,62.49,clear sky,36.5,137.8667,Ochicochi Village
172,Safaga,EG,69.75,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
174,Ouadda,CF,68.4,overcast clouds,8.0777,22.4007,
180,Geraldton,AU,68.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
185,Baikunthpur,IN,74.12,clear sky,23.25,82.55,Hotel Shree Annpurna inn
187,Marzuq,YE,70.97,clear sky,14.4,46.4667,
191,Beloha,MG,66.45,overcast clouds,-25.1667,45.05,
192,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
194,Guasdualito,VE,71.49,overcast clouds,7.2424,-70.7324,Hotel Cuibas
198,Nador,MA,64.65,scattered clouds,35.174,-2.9287,Hôtel La Giralda
199,Port Lincoln,AU,64.17,light rain,-34.7333,135.8667,Port Lincoln Hotel
201,Alamos,MX,71.71,clear sky,27.0167,-108.9333,Luz del Sol
203,Ukiah,US,62.87,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
204,Te Anau,NZ,65.66,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
209,Zaraza,VE,71.13,overcast clouds,9.3503,-65.3245,Hotel Zaraza
215,Caraguatatuba,BR,74.39,moderate rain,-23.6338,-45.4899,Cibele Cass
222,Lompoc,US,71.49,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
230,Canico,PT,68.72,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
231,Makurdi,NG,73.99,broken clouds,7.7411,8.5121,Doo Palace Hotel
235,Xuddur,SO,73.29,clear sky,4.1213,43.8894,Banjanay Hotel
242,Changli,CN,61.63,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
245,Laguna,US,66.04,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
250,Amlimay,PH,71.06,broken clouds,16.6938,120.837,Dizon Palbusa Building
251,Mitsamiouli,KM,73.69,few clouds,-11.3847,43.2844,Foyer ADM
252,Espinosa,BR,70.0,clear sky,-14.9261,-42.8192,Hotel Vilma
253,Qinhuangdao,CN,62.46,overcast clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
254,Melilla,ES,64.78,scattered clouds,35.2937,-2.9383,Hotel Nacional
267,Wamba,NG,71.85,light rain,8.9333,8.6,Roma Zee Guest House Annex
270,Santo Antonio Do Amparo,BR,65.5,moderate rain,-20.9464,-44.9189,Hotel Pousada Dos Viajantes
271,Edgewater,US,71.01,scattered clouds,28.9889,-80.9023,Islander Beach Resort
