City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pisco,PE,-13.7,-76.2167,62.02,82,0,13.8,clear sky
1,Westport,US,41.1415,-73.3579,55.26,84,90,3.0,overcast clouds
2,Hithadhoo,MV,-0.6,73.0833,82.96,70,73,13.33,broken clouds
3,Rocha,UY,-34.4833,-54.3333,63.03,76,0,5.91,clear sky
4,Cape Town,ZA,-33.9258,18.4232,61.12,87,20,1.01,few clouds
5,Ponta Do Sol,PT,32.6667,-17.1,68.72,66,25,4.21,scattered clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,53,0,0.0,clear sky
7,Khandyga,RU,62.6667,135.6,30.43,86,100,9.15,overcast clouds
8,Kavieng,PG,-2.5744,150.7967,85.5,68,31,7.99,scattered clouds
9,San Vicente De Canete,PE,-13.0751,-76.3835,63.88,84,15,4.52,few clouds
10,Busselton,AU,-33.65,115.3333,59.04,47,94,8.16,overcast clouds
11,Raga,SS,8.4596,25.678,70.43,82,80,2.64,broken clouds
12,Clyde River,CA,70.4692,-68.5914,27.43,83,100,2.91,overcast clouds
13,Upernavik,GL,72.7868,-56.1549,19.99,77,34,4.88,scattered clouds
14,Winnemucca,US,40.973,-117.7357,51.12,76,1,4.61,clear sky
15,Lorengau,PG,-2.0226,147.2712,83.48,75,100,5.28,overcast clouds
16,Berbera,SO,10.4396,45.0143,79.3,53,11,3.98,few clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,71.35,93,99,12.88,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,74.52,75,12,3.58,few clouds
19,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,3.44,broken clouds
20,Salalah,OM,17.0151,54.0924,71.69,60,0,3.44,clear sky
21,Marawi,PH,7.9986,124.2928,75.65,60,52,3.78,broken clouds
22,Iracoubo,GF,5.4802,-53.2011,77.41,88,58,7.65,broken clouds
23,Mataura,NZ,-46.1927,168.8643,72.01,44,17,1.45,few clouds
24,Avarua,CK,-21.2078,-159.775,75.25,69,40,10.36,scattered clouds
25,Georgetown,MY,5.4112,100.3354,89.53,70,20,1.99,few clouds
26,Vaasa,FI,63.096,21.6158,37.94,100,90,5.75,fog
27,Puerto Ayora,EC,-0.7393,-90.3518,68.56,93,45,1.99,scattered clouds
28,Victoria,HK,22.2855,114.1577,83.03,76,64,4.0,broken clouds
29,Saskylakh,RU,71.9167,114.0833,-2.09,98,100,6.93,overcast clouds
30,Salinopolis,BR,-0.6136,-47.3561,79.43,82,56,9.26,broken clouds
31,Punta Arenas,CL,-53.15,-70.9167,46.51,66,0,4.61,clear sky
32,Hilo,US,19.7297,-155.09,80.28,78,90,5.75,overcast clouds
33,Broome,US,42.2506,-75.833,45.61,77,1,1.99,clear sky
34,Avera,US,33.194,-82.5271,55.27,49,53,6.31,broken clouds
35,Buchanan,LR,5.8808,-10.0467,76.46,90,84,3.89,light rain
36,Vaini,TO,-21.2,-175.2,80.76,78,20,11.5,few clouds
37,Bharatpur,IN,27.2167,77.4833,75.81,42,0,4.36,clear sky
38,Chuy,UY,-33.6971,-53.4616,63.14,88,0,5.73,light rain
39,Fare,PF,-16.7,-151.0167,80.15,78,52,8.86,light rain
40,Khatanga,RU,71.9667,102.5,0.84,95,100,9.08,overcast clouds
41,East London,ZA,-33.0153,27.9116,66.83,82,100,21.79,overcast clouds
42,Mapiripan,CO,2.8892,-72.1256,70.74,96,100,3.29,light rain
43,Srednekolymsk,RU,67.45,153.6833,-1.03,94,40,1.99,scattered clouds
