City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-10-22 06:43:53,42.6001,-73.9662,61.27,89,100,5.03
1,Hilo,US,2021-10-22 06:44:47,19.7297,-155.09,73.27,78,1,4.61
2,Thinadhoo,MV,2021-10-22 06:44:48,0.5333,72.9333,82.85,70,80,8.99
3,Bushehr,IR,2021-10-22 06:44:48,28.9684,50.8385,82.42,44,0,9.22
4,Cheremukhovo,RU,2021-10-22 06:44:49,60.3484,59.9851,35.08,82,100,4.63
5,Castro,BR,2021-10-22 06:44:49,-24.7911,-50.0119,48.92,93,1,2.86
6,Thai Binh,VN,2021-10-22 06:41:06,20.45,106.3333,71.6,80,100,12.86
7,Garowe,SO,2021-10-22 06:44:50,8.4054,48.4845,81.59,51,88,2.01
8,Hofn,IS,2021-10-22 06:44:50,64.2539,-15.2082,32.11,53,100,5.41
9,Bredasdorp,ZA,2021-10-22 06:44:51,-34.5322,20.0403,67.28,67,30,8.05
10,Butaritari,KI,2021-10-22 06:44:51,3.0707,172.7902,82.35,78,37,12.41
11,Bengkulu,ID,2021-10-22 06:42:25,-3.8004,102.2655,82.09,74,100,6.49
12,Mayumba,GA,2021-10-22 06:44:52,-3.432,10.6554,77.52,85,100,4.54
13,Hermanus,ZA,2021-10-22 06:44:52,-34.4187,19.2345,67.8,61,63,23.09
14,Saint-Philippe,RE,2021-10-22 06:44:53,-21.3585,55.7679,80.22,73,35,7.23
15,Rikitea,PF,2021-10-22 06:44:53,-23.1203,-134.9692,73.92,81,100,23.29
16,Makakilo City,US,2021-10-22 06:41:21,21.3469,-158.0858,75.56,76,20,6.91
17,Sao Filipe,CV,2021-10-22 06:44:54,14.8961,-24.4956,80.04,65,0,3.53
18,Pisco,PE,2021-10-22 06:44:55,-13.7,-76.2167,59.05,88,0,3.44
19,Nabire,ID,2021-10-22 06:44:55,-3.3667,135.4833,77.0,90,100,3.02
20,New Norfolk,AU,2021-10-22 06:44:56,-42.7826,147.0587,70.66,46,100,1.99
21,Ushuaia,AR,2021-10-22 06:44:56,-54.8,-68.3,37.06,81,0,5.75
22,Calatagan,PH,2021-10-22 06:44:57,13.8833,120.65,86.07,68,100,10.83
23,Arraial Do Cabo,BR,2021-10-22 06:44:57,-22.9661,-42.0278,66.9,69,94,4.25
24,Bethel,US,2021-10-22 06:44:58,41.3712,-73.414,64.76,90,40,0.0
25,Stornoway,GB,2021-10-22 06:44:58,58.2093,-6.3865,39.16,87,20,6.91
26,Puerto Ayora,EC,2021-10-22 06:44:58,-0.7393,-90.3518,69.31,90,100,8.21
27,Calamar,CO,2021-10-22 06:44:59,10.2511,-74.9146,78.75,96,56,5.59
28,Esperance,AU,2021-10-22 06:44:59,-33.8667,121.9,64.24,57,49,10.2
29,Colomi,BO,2021-10-22 06:45:00,-17.35,-65.8667,55.42,84,48,2.64
30,Punta Arenas,CL,2021-10-22 06:40:34,-53.15,-70.9167,44.71,57,75,21.85
31,Nova Olimpia,BR,2021-10-22 06:45:01,-14.7972,-57.2881,77.09,75,86,3.53
32,Dikson,RU,2021-10-22 06:45:01,73.5069,80.5464,20.86,75,10,8.93
33,Seoul,KR,2021-10-22 06:45:02,37.5683,126.9778,64.81,35,20,10.36
34,Khatanga,RU,2021-10-22 06:45:03,71.9667,102.5,10.0,92,100,9.73
35,Weihe,CN,2021-10-22 06:45:04,32.9952,105.3247,50.59,81,100,5.28
36,Georgetown,MY,2021-10-22 06:45:05,5.4112,100.3354,89.53,66,40,7.0
37,Charters Towers,AU,2021-10-22 06:45:05,-20.1,146.2667,90.72,35,2,26.6
38,Coihaique,CL,2021-10-22 06:45:06,-45.5752,-72.0662,33.75,93,0,2.3
39,Mar Del Plata,AR,2021-10-22 06:43:32,-38.0023,-57.5575,62.1,98,90,13.0
40,Mataura,NZ,2021-10-22 06:45:06,-46.1927,168.8643,54.0,75,90,1.74
41,Port Blair,IN,2021-10-22 06:45:07,11.6667,92.75,84.36,73,100,3.29
42,Faanui,PF,2021-10-22 06:45:07,-16.4833,-151.75,79.66,76,5,8.16
43,Zyryanka,RU,2021-10-22 06:45:08,65.75,150.85,-1.57,91,25,3.65
44,Lumphat,KH,2021-10-22 06:45:08,13.4878,106.9816,84.45,79,53,5.88
45,Nishihara,JP,2021-10-22 06:45:09,26.1842,127.7558,74.48,63,90,17.27
46,Vaini,TO,2021-10-22 06:45:09,-21.2,-175.2,73.56,88,75,8.05
47,Hobart,AU,2021-10-22 06:45:10,-42.8794,147.3294,71.02,62,75,1.99
48,Nanortalik,GL,2021-10-22 06:45:10,60.1432,-45.2371,40.12,71,100,6.11
49,Sorland,NO,2021-10-22 06:45:10,67.667,12.6934,40.86,70,75,34.52
50,Russell,US,2021-10-22 06:45:11,32.3502,-85.1999,69.03,94,100,3.96
51,Parangan,PH,2021-10-22 06:45:12,5.0839,119.9383,82.94,78,100,10.45
52,Matagami,CA,2021-10-22 06:45:13,49.7502,-77.6328,28.51,100,90,11.5
53,Malanje,AO,2021-10-22 06:45:13,-9.5402,16.341,67.89,87,100,2.42
54,Torbay,CA,2021-10-22 06:45:13,47.6666,-52.7314,40.75,83,1,12.66
55,Chuy,UY,2021-10-22 06:45:14,-33.6971,-53.4616,52.23,90,2,3.09
56,Vila Velha,BR,2021-10-22 06:45:15,-20.3297,-40.2925,67.95,83,75,3.44
57,Birnin Kebbi,NG,2021-10-22 06:45:15,12.4539,4.1975,81.9,59,11,6.17
58,San Cristobal,VE,2021-10-22 06:45:16,7.7669,-72.225,64.27,98,33,2.21
59,Pevek,RU,2021-10-22 06:45:16,69.7008,170.3133,12.9,93,100,9.93
60,Pucara,PE,2021-10-22 06:45:17,-15.9803,-71.4606,39.02,24,98,1.39
61,Asyut,EG,2021-10-22 06:45:17,27.181,31.1837,66.38,50,4,15.35
62,Nikolskoye,RU,2021-10-22 06:45:18,59.7035,30.7861,46.87,68,94,19.24
63,Gorontalo,ID,2021-10-22 06:45:18,0.5412,123.0595,82.71,77,100,1.92
64,Uige,AO,2021-10-22 06:45:19,-7.6087,15.0613,70.11,93,100,2.28
65,Mwinilunga,ZM,2021-10-22 06:45:19,-11.7358,24.4293,73.47,67,100,1.41
66,Richards Bay,ZA,2021-10-22 06:45:20,-28.783,32.0377,75.11,64,100,14.61
67,Clyde River,CA,2021-10-22 06:45:20,70.4692,-68.5914,19.53,78,74,5.35
68,Sao Joao Da Barra,BR,2021-10-22 06:42:14,-21.6403,-41.0511,64.42,83,49,4.38
69,Norman Wells,CA,2021-10-22 06:45:21,65.282,-126.8329,35.64,75,40,6.91
70,Port Alfred,ZA,2021-10-22 06:45:21,-33.5906,26.891,70.99,64,100,9.82
71,Tura,IN,2021-10-22 06:45:22,25.5198,90.2201,79.83,46,5,3.33
72,Lompoc,US,2021-10-22 06:41:13,34.6391,-120.4579,61.12,90,90,4.61
73,Qaanaaq,GL,2021-10-22 06:45:23,77.484,-69.3632,-1.91,75,0,8.77
74,Avesta,SE,2021-10-22 06:45:23,60.1455,16.1679,37.4,67,10,11.7
75,Gornopravdinsk,RU,2021-10-22 06:41:20,60.05,69.9,34.0,70,100,8.46
76,Katherine,AU,2021-10-22 06:45:24,-14.4667,132.2667,98.92,32,13,10.36
77,Tuatapere,NZ,2021-10-22 06:45:24,-46.1333,167.6833,52.02,78,29,2.95
78,Pandan,PH,2021-10-22 06:45:25,14.0453,124.1694,82.4,82,100,11.23
79,Kahului,US,2021-10-22 06:45:25,20.8947,-156.47,76.84,81,1,6.91
80,Erdenet,MN,2021-10-22 06:45:25,49.0333,104.0833,43.54,30,37,3.83
81,Qeshm,IR,2021-10-22 06:45:26,26.9581,56.2719,93.07,53,0,1.81
82,Mahebourg,MU,2021-10-22 06:45:26,-20.4081,57.7,80.89,69,75,16.11
83,Busselton,AU,2021-10-22 06:45:31,-33.65,115.3333,70.05,49,2,12.03
84,Luderitz,NA,2021-10-22 06:45:31,-26.6481,15.1594,61.41,69,7,11.1
85,Tuy Hoa,VN,2021-10-22 06:45:31,13.0833,109.3,82.94,76,67,11.9
86,Cherskiy,RU,2021-10-22 06:45:32,68.75,161.3,2.53,99,99,5.46
87,Atar,MR,2021-10-22 06:45:33,20.5169,-13.0499,71.73,18,100,7.49
88,Narsaq,GL,2021-10-22 06:45:33,60.9167,-46.05,32.22,62,100,4.79
89,Solvychegodsk,RU,2021-10-22 06:45:34,61.3305,46.9156,47.59,95,100,12.15
90,Atuona,PF,2021-10-22 06:43:31,-9.8,-139.0333,78.28,77,51,19.86
91,Kaitangata,NZ,2021-10-22 06:45:34,-46.2817,169.8464,50.83,87,33,7.56
92,Agirish,RU,2021-10-22 06:45:35,61.9247,63.0231,31.87,80,99,9.53
